250	25
1	1	0
1	2	30.31
1	3	40.07
1	4	10.26
1	5	30.83
1	6	31.81
1	7	12.45
1	8	35.27
1	9	38.39
1	10	32.94
1	11	46.35
1	12	37.01
1	13	29.75
1	14	47.59
1	15	35.43
1	16	13.11
1	17	29.9
1	18	44.73
1	19	15.29
1	20	27.09
1	21	41.85
1	22	28.75
1	23	10.48
1	24	7.94
1	25	35.47
1	26	53.26
1	27	18.99
1	28	6.45
1	29	45.72
1	30	7.28
1	31	55.32
1	32	58.62
1	33	24.64
1	34	38.02
1	35	13.98
1	36	16.97
1	37	8.36
1	38	39.71
1	39	7.26
1	40	39.47
1	41	32.46
1	42	47.64
1	43	74.48
1	44	13.87
1	45	22.4
1	46	69.32
1	47	46.48
1	48	17.2
1	49	50.82
1	50	20.2
1	51	8.12
1	52	35.75
1	53	52.02
1	54	14.86
1	55	11.88
1	56	47.47
1	57	37.73
1	58	16.35
1	59	15.8
1	60	29.23
1	61	31.06
1	62	52.5
1	63	39.31
1	64	19.97
1	65	14.85
1	66	50.25
1	67	26.69
1	68	47.55
1	69	30.71
1	70	39.64
1	71	60.84
1	72	6.19
1	73	28.83
1	74	9.4
1	75	60.53
1	76	9.42
1	77	18.51
1	78	13.05
1	79	16.43
1	80	8.92
1	81	60.55
1	82	33.3
1	83	10.87
1	84	9.9
1	85	26.3
1	86	47.72
1	87	19.78
1	88	42.27
1	89	9.99
1	90	7.4
1	91	44.64
1	92	13.2
1	93	30.21
1	94	23.57
1	95	39.12
1	96	38.72
1	97	11.96
1	98	7.44
1	99	13.44
1	100	16.75
1	101	42.62
1	102	64.32
1	103	15.55
1	104	11.81
1	105	35.71
1	106	29.29
1	107	57.57
1	108	39.24
1	109	36.78
1	110	61.09
1	111	36.2
1	112	54.4
1	113	15.93
1	114	12.61
1	115	31.51
1	116	66.01
1	117	31.18
1	118	30.07
1	119	38.06
1	120	27.15
1	121	19.22
1	122	24.92
1	123	4.63
1	124	31.05
1	125	69.79
1	126	31.81
1	127	27.49
1	128	33.46
1	129	42.51
1	130	33.01
1	131	71.44
1	132	5.85
1	133	29.17
1	134	5.44
1	135	24.32
1	136	15.47
1	137	8.2
1	138	55.26
1	139	47.86
1	140	57.32
1	141	47.52
1	142	6.45
1	143	25.97
1	144	40.04
1	145	31.17
1	146	28.68
1	147	37.79
1	148	38.25
1	149	48.78
1	150	21.03
1	151	27.53
1	152	32.68
1	153	6.7
1	154	24.42
1	155	20.6
1	156	26.93
1	157	30.33
1	158	61.34
1	159	55.96
1	160	30.07
1	161	46.85
1	162	13.33
1	163	27.75
1	164	51.6
1	165	16.8
1	166	7.98
1	167	57.43
1	168	7.83
1	169	9.49
1	170	7.32
1	171	41.5
1	172	53.94
1	173	52.43
1	174	35.54
1	175	13.18
1	176	27.11
1	177	7.36
1	178	49.44
1	179	52.97
1	180	18.61
1	181	17.8
1	182	52.54
1	183	34.2
1	184	44.72
1	185	30.8
1	186	42.4
1	187	35.29
1	188	40.97
1	189	61.95
1	190	31.7
1	191	31.9
1	192	41.74
1	193	32.43
1	194	26.06
1	195	11.1
1	196	56.28
1	197	30.09
1	198	14.53
1	199	31.43
1	200	34.39
1	201	16.68
1	202	6.02
1	203	40.3
1	204	39.77
1	205	35.07
1	206	26.71
1	207	11.2
1	208	69.11
1	209	15.06
1	210	23.91
1	211	36.4
1	212	27.56
1	213	23.31
1	214	76.98
1	215	50.65
1	216	12.18
1	217	40.16
1	218	63.09
1	219	40.3
1	220	5.17
1	221	37.45
1	222	13.76
1	223	38.89
1	224	24.31
1	225	19.45
1	226	30.02
1	227	69.26
1	228	12.25
1	229	19.15
1	230	15.63
1	231	23.21
1	232	54.12
1	233	9.37
1	234	53.5
1	235	27.62
1	236	17.77
1	237	42.97
1	238	28.78
1	239	12.94
1	240	39.48
1	241	46.91
1	242	13.46
1	243	29.57
1	244	50.4
1	245	10.57
1	246	19.18
1	247	39.33
1	248	41.61
1	249	57.3
1	250	23.28
2	1	30.31
2	2	0
2	3	17.1
2	4	23.16
2	5	21.3
2	6	11.02
2	7	22.47
2	8	21.86
2	9	16.03
2	10	11.2
2	11	27.56
2	12	11.84
2	13	18.66
2	14	20.98
2	15	16.62
2	16	24.06
2	17	11.74
2	18	26.04
2	19	43.38
2	20	17.97
2	21	17.32
2	22	12.13
2	23	33.17
2	24	32.93
2	25	14.98
2	26	27.24
2	27	16.27
2	28	30.11
2	29	24.43
2	30	33.73
2	31	29.89
2	32	34.87
2	33	15.09
2	34	20.39
2	35	22.78
2	36	16.12
2	37	32.09
2	38	12.3
2	39	25.18
2	40	10.92
2	41	17.5
2	42	26.34
2	43	49.78
2	44	22.47
2	45	15.28
2	46	42.81
2	47	22.05
2	48	18.06
2	49	24.8
2	50	15.45
2	51	25.59
2	52	14.37
2	53	27.17
2	54	19.24
2	55	31.19
2	56	26.53
2	57	19.53
2	58	19.66
2	59	28.39
2	60	12.24
2	61	19.53
2	62	29.42
2	63	15
2	64	13.38
2	65	23.12
2	66	29.36
2	67	16.42
2	68	23.44
2	69	15.45
2	70	22.29
2	71	35.42
2	72	27.47
2	73	21.41
2	74	37.34
2	75	33.24
2	76	37.79
2	77	19.23
2	78	24.69
2	79	20.01
2	80	26.25
2	81	35.73
2	82	20.11
2	83	25.08
2	84	24.7
2	85	14.32
2	86	23.16
2	87	14.87
2	88	14.96
2	89	25.15
2	90	32.29
2	91	15.21
2	92	22.48
2	93	18.47
2	94	14.57
2	95	22.08
2	96	17.92
2	97	23.85
2	98	29.5
2	99	20.51
