350	35
1	1	0
1	2	22.73
1	3	29.32
1	4	20.22
1	5	26.45
1	6	11.61
1	7	18.32
1	8	36.57
1	9	14.91
1	10	21.05
1	11	13.93
1	12	8.59
1	13	18.67
1	14	37.44
1	15	27.13
1	16	23.28
1	17	12.09
1	18	15.86
1	19	24.5
1	20	33.87
1	21	18.9
1	22	19.82
1	23	23.11
1	24	21.71
1	25	18.15
1	26	34.57
1	27	36.91
1	28	26.02
1	29	21.86
1	30	19.59
1	31	34.4
1	32	19.01
1	33	25.72
1	34	13.3
1	35	35.23
1	36	38.56
1	37	20.72
1	38	25.43
1	39	16.07
1	40	6.17
1	41	20.36
1	42	19.67
1	43	20.26
1	44	41.2
1	45	26
1	46	25.69
1	47	20.61
1	48	37.3
1	49	25.58
1	50	13.39
1	51	16.56
1	52	19.81
1	53	21.35
1	54	37.22
1	55	18.57
1	56	36.01
1	57	21.78
1	58	47.66
1	59	21.01
1	60	17.36
1	61	28.2
1	62	43.79
1	63	15.72
1	64	44.45
1	65	18.57
1	66	15.28
1	67	16.78
1	68	18.48
1	69	49.64
1	70	12.17
1	71	20.88
1	72	19.34
1	73	18.76
1	74	37.4
1	75	19.61
1	76	12.5
1	77	17.59
1	78	17.71
1	79	17.9
1	80	15.74
1	81	16.53
1	82	18.35
1	83	27.49
1	84	17.37
1	85	21.49
1	86	15.43
1	87	17.16
1	88	13.87
1	89	11.43
1	90	22.94
1	91	21.52
1	92	20.36
1	93	15.39
1	94	20.96
1	95	39.36
1	96	13.43
1	97	24.58
1	98	18.86
1	99	23.58
1	100	13.97
1	101	17.19
1	102	24.38
1	103	20.97
1	104	16.83
1	105	12.5
1	106	15.29
1	107	28.99
1	108	24.52
1	109	18.54
1	110	38.18
1	111	24.59
1	112	20.53
1	113	45.73
1	114	11.45
1	115	19
1	116	16.21
1	117	30.08
1	118	12.84
1	119	11.13
1	120	18.37
1	121	12.12
1	122	15.88
1	123	21.54
1	124	13.29
1	125	12.3
1	126	11.15
1	127	17.83
1	128	19.74
1	129	34.12
1	130	21.19
1	131	14.37
1	132	29.36
1	133	21.75
1	134	23.28
1	135	21.86
1	136	8.44
1	137	27.11
1	138	23.4
1	139	29.61
1	140	30.79
1	141	24.05
1	142	27.81
1	143	14.86
1	144	23.89
1	145	19.65
1	146	17.47
1	147	22.89
1	148	16.75
1	149	24.98
1	150	32.37
1	151	23.15
1	152	27.17
1	153	8.75
1	154	20.31
1	155	19.36
1	156	11.08
1	157	13.65
1	158	17.96
1	159	36.13
1	160	20.02
1	161	45.76
1	162	15.05
1	163	35.35
1	164	16.94
1	165	23.82
1	166	21.75
1	167	34.72
1	168	18.34
1	169	18.01
1	170	21.4
1	171	12.86
1	172	18.19
1	173	15.28
1	174	16.39
1	175	23.13
1	176	20.75
1	177	13.06
1	178	14.55
