pMedian	pDispersion
1765.0	9.74
1751.0	9.69
1743.0	9.64
1796.0	10.34
1795.0	10.25
1807.0	10.52
1741.0	9.58
1737.0	9.51
1841.0	10.53
1565.0	7.56
1670.0	8.92
1527.0	6.67
1530.0	6.79
1538.0	6.82
1518.0	6.46
1515.0	6.1
1726.0	9.22
1516.0	6.37
1610.0	7.87
1736.0	9.49
1618.0	7.97
1671.0	9.01
1716.0	9.05
1717.0	9.13
1679.0	9.02
1723.0	9.19
1645.0	8.25
1668.0	8.42
1952.0	10.55
1514.0	5.89
1619.0	8.0
1768.0	9.97
1633.0	8.18
1507.0	5.56
1542.0	7.0
1555.0	7.16
1560.0	7.49
1767.0	9.95
1556.0	7.28
1598.0	7.8
1601.0	7.83
