pMedian	pDispersion
12125.0	40.0
14065.0	44.0
20637.0	59.0
19816.0	57.0
19374.0	55.0
8408.0	17.0
12561.0	41.0
12080.0	39.0
13358.0	43.0
20333.0	58.0
8398.0	16.0
13042.0	42.0
14935.0	45.0
16806.0	50.0
17667.0	51.0
8310.0	15.0
15104.0	46.0
17777.0	52.0
16708.0	49.0
19472.0	56.0
18714.0	54.0
11936.0	38.0
18446.0	53.0
16052.0	48.0
10332.0	28.0
10319.0	27.0
9790.0	23.0
9977.0	25.0
11653.0	34.0
11704.0	36.0
11669.0	35.0
8451.0	18.0
9070.0	20.0
9497.0	22.0
15969.0	47.0
8812.0	19.0
10043.0	26.0
11280.0	31.0
10968.0	30.0
11793.0	37.0
11514.0	32.0
10802.0	29.0
